(Parent) ASIN,(Child) ASIN,Title,Sessions - Mobile App,Sessions - Browser,Sessions - Total,Session Percentage - Mobile App,Session Percentage - Browser,Session Percentage - Total,Page Views - Mobile App,Page Views - Browser,Page Views - Total,Page Views Percentage - Mobile App,Page Views Percentage - Browser,Page Views Percentage - Total,Featured Offer Percentage,Units Ordered,Unit Session Percentage,Ordered Product Sales,Total Order Items,Date
B0BY4LQW7V,B0BY4LQW7V,Pure Tree Certified Organic Rajgira | 350 g | Amaranth Millet | Ramdana Seed | Cholai Dana Amaranth Seeds Whole | Rajgira Seeds Organic MIllets - Gluten Free,0,1,1,0.00%,0.19%,0.04%,0,1,1,0.00%,0.09%,0.03%,100.00%,1,100.00%,₹194.00,1,11-05-2025
B0C1V4X9F9,B0C1V4X9F9,Pure Tree Certified Organic Yellow Mustard Seeds | 100 g | Rai Seeds Pili Sarson dana | Aromatic Organic Mustard Seeds Kadugu Avalu | Yellow Sarso Seeds,1,0,1,0.05%,0.00%,0.04%,3,0,3,0.11%,0.00%,0.08%,100.00%,1,100.00%,₹147.00,1,11-05-2025
B0C749GM5H,B0C749GM5H,"Pure Tree Certified Organic Lokwan Whole Wheat | 850 g | Golden Grain | Organic Wheat Whole Grain | Gehu Whole Wheat Thick and Heavy Grain For Chapatti, Roti & Paratha",3,0,3,0.16%,0.00%,0.13%,7,0,7,0.26%,0.00%,0.18%,100.00%,2,66.67%,₹500.00,1,11-05-2025
B0C749QXD1,B0C749QXD1,Pure Tree Certified Organic Indrayani Rice (White) | 1.8 Kg / 1800 g | Indrani Chawal | White Rice | Raw Rice Gluten Free Low Glycemic & Calorie,1,0,1,0.05%,0.00%,0.04%,1,0,1,0.04%,0.00%,0.03%,100.00%,1,100.00%,₹420.00,1,11-05-2025
B0C74CXWZB,B0C74CXWZB,Pure Tree Certified Organic Indrayani Rice (White) | 850 g | Indrani Chawal | White Rice | Raw Rice Gluten Free Low Glycemic & Calorie,2,3,5,0.11%,0.56%,0.21%,4,3,7,0.15%,0.26%,0.18%,100.00%,1,20.00%,₹223.00,1,11-05-2025
B0CC5Y72X8,B0CC5Y72X8,Pure Tree Round Glass Jar 1000 ml | BPA Free Glass jars for kitchen storage | Kitchen Containers with lid | Multipurpose Jar | Airtight Storage Container | Red Cap | Pack Of 2,7,0,7,0.38%,0.00%,0.30%,14,0,14,0.51%,0.00%,0.36%,100.00%,1,14.29%,₹299.00,1,11-05-2025
B0CFV8XFV7,B0CFV8XFV7,Pure Tree Certified Organic Freshly Milled Amaranth Flour | 850 g | Rajgira Atta Ramdana Organic Atta | Amaranth Flour | Gluten Free Atta,2,0,2,0.11%,0.00%,0.08%,2,0,2,0.07%,0.00%,0.05%,100.00%,1,50.00%,₹450.00,1,11-05-2025
B0CFVPPPDK,B0CFVPPPDK,Pure Tree Certified Organic Freshly Milled Lokwan Wheat Flour | 1.8 Kg / 1800 g | Lokwan Whole Wheat Atta | Organic Atta Gehu ka Atta | Whole Wheat Flour Rich In Minerals,1,0,1,0.05%,0.00%,0.04%,1,0,1,0.04%,0.00%,0.03%,100.00%,1,100.00%,₹450.00,1,11-05-2025
B0CLS4FPX6,B0CLS4FPX6,Pure Tree Certified Organic Ambemohar White Rice | 850 g | Aromatic Rice | Raw Everyday Unpolished Gluten Free Rice,1,0,1,0.05%,0.00%,0.04%,1,0,1,0.04%,0.00%,0.03%,100.00%,1,100.00%,₹241.00,1,11-05-2025
B0CMQ6JR5V,B0CMQ6JR5V,Pure Tree Certified Organic Green Cardamom Powder | 50 g | Glass Jar | Hari Elaichi Powder | Ilaichi Powder,3,0,3,0.16%,0.00%,0.13%,3,0,3,0.11%,0.00%,0.08%,100.00%,1,33.33%,₹599.00,1,11-05-2025
B0CQ2NKCZW,B0CQ2NKCZW,Naturtint Permanent Hair Colour Gel Light Golden Chestnut 5G | For Optimal Scalp Care | Long Lasting Hair Colour | Ammonia Free Vegan | No Parabens | Enriched with Olives & Organic Shea Butter,13,1,14,0.71%,0.19%,0.59%,17,2,19,0.62%,0.17%,0.49%,57.89%,1,7.14%,"₹1,250.00",1,11-05-2025
B0CQ2QTZBM,B0CQ2QTZBM,Naturtint Permanent Hair Colour Gel Black Natural 1N|For Optimal Scalp Care|100% Grey Coverage|Long Lasting Hair Colour|Ammonia Free Vegan|No Parabens|Enriched with Olives & Organic Shea Butter,48,3,51,2.64%,0.56%,2.16%,91,4,95,3.32%,0.35%,2.44%,63.75%,1,1.96%,"₹1,250.00",1,11-05-2025
B0CV9T8VRH,B0CV9T8VRH,"Pure Tree Certified Organic Saunf Powder | Glass Jar | Fennel Seed Powder Organic | Variyali Powder | Sompu Powder | Saunf Powder Gluten Free & Flavourful, 60 gram",2,0,2,0.11%,0.00%,0.08%,2,0,2,0.07%,0.00%,0.05%,100.00%,1,50.00%,₹183.00,1,11-05-2025
B0CX577XNJ,B0CX577XNJ,Pure Tree Certified Organic Jeera Seeds | 850 g | Cumin Seeds | Sabut Jeera | Jeera Whole Spices | Jeelakarra | Zeera | Organic Spices | Boost Immunity | For Curries & Veg,3,0,3,0.16%,0.00%,0.13%,3,0,3,0.11%,0.00%,0.08%,100.00%,1,33.33%,₹720.00,1,11-05-2025
B0D7HR6WP7,B0D7HR6WP7,Pure Tree Certified Organic Rosted Chana Dal | 200 g | Roasted Bengal Gram Split | Bhuna Chana Dal | Putnalu Pappu | Futana Dal | Organic Daria Roasted Pottukadalai,1,0,1,0.05%,0.00%,0.04%,3,0,3,0.11%,0.00%,0.08%,100.00%,1,100.00%,₹195.00,1,11-05-2025
B0DHD1M5LV,B0DHD1M5LV,Naturtint Permanent Hair Colour Gel Golden Brown 4G | For Optimal Scalp Care | Long Lasting Hair Colour | Ammonia Free Vegan | No Parabens | Enriched with Olives & Organic Shea Butter - Pack of 3,1,0,1,0.05%,0.00%,0.04%,2,0,2,0.07%,0.00%,0.05%,100.00%,2,200.00%,"₹7,500.00",1,11-05-2025
B0DPMWKQXN,B0DPMWKQXN,"Pure Tree Certified Organic Ajwain Powder | Carom Seed Powder | Ajavain | Omam Powder Gluten-Free | Vamu Seeds | Ajowan | Ayamodakam Seeds Rich In Antioxidants, 200 gram",2,0,2,0.11%,0.00%,0.08%,2,0,2,0.07%,0.00%,0.05%,100.00%,1,50.00%,₹220.00,1,11-05-2025
B0DTHVKBVQ,B0DTHVKBVQ,Pure Tree Certified Organic Khapli Whole Wheat | 5 Kg | Sambu Wheat | Emmer Khapli Grain | Desi Gehu Whole Grain,3,2,5,0.16%,0.37%,0.21%,4,4,8,0.15%,0.35%,0.21%,75.00%,1,20.00%,"₹1,225.00",1,11-05-2025
B0F1TGLSWV,B0F1TGLSWV,Pure Tree Round Glass Jar 1000 ml | BPA Free Glass jars for kitchen storage | Kitchen Containers with lid | Multipurpose Jar | Airtight Storage Container | Red Cap | Pack Of 4,1,0,1,0.05%,0.00%,0.04%,3,0,3,0.11%,0.00%,0.08%,100.00%,1,100.00%,₹490.00,1,11-05-2025
B0006GZE1S,B0006GZE1S,Nordic Naturals DHA | 830 Mg Omega-3 Fish Oil For Men & Women High-Intensity DHA Formula | EPA & DHA Supplement For Brain Health & Nervous System Support Strawberry Flavour Fish Oil 90 Softgels,1,2,3,0.05%,0.37%,0.13%,1,8,9,0.04%,0.70%,0.23%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B000HDV7YS,B000HDV7YS,Nordic Naturals Ultimate Omega 3 Fish Oil Softgels | 1280 Mg Omega 3 Fatty Acids | High-Potency Fish Oil Omega 3 Supplement For Men And Women With EPA & DHA | Fish Oil Lemon Flavour 60 Softgels,131,49,180,7.20%,9.11%,7.64%,213,73,286,7.77%,6.38%,7.36%,28.33%,0,0.00%,₹0.00,0,11-05-2025
B000VKT35C,B000VKT35C,"Nordic Naturals Arctic Cod Liver Oil | 1060 Mg Omega 3 Fish Oil EPA & DHA Supplement | Omega 3 Cod Liver Oil Liquid For Heart, Brain Health, Optimal Wellness Flavour Strawberry Fish Oil 8Fl Oz(237 Ml)",4,5,9,0.22%,0.93%,0.38%,4,16,20,0.15%,1.40%,0.51%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B0011FY7MA,B0011FY7MA,"Nordic Naturals Complete Omega 3 Fish Oil Supplement | 565 Mg Omega 3 Fish Oil | EPA & DHA Supplement With Gla, Oa | Fish Oil Omega 3 6 9 Dietary Supplement | Lemon Fish Oil 60 Fish Oil Softgel",6,2,8,0.33%,0.37%,0.34%,7,9,16,0.26%,0.79%,0.41%,93.75%,0,0.00%,₹0.00,0,11-05-2025
B002CQU4YW,B002CQU4YW,"Nordic Naturals EPA | 1210 Mg Omega-3 Fish Oil With EPA & DHA Supplement | High-Intensity 3 EPA Supplement | Promotes Mood, Heart Health & Immune Function | Lemon Fish Oil Flavour 60 Soft Gels",2,2,4,0.11%,0.37%,0.17%,3,8,11,0.11%,0.70%,0.28%,90.00%,0,0.00%,₹0.00,0,11-05-2025
B002CQU4Z6,B002CQU4Z6,"Nordic Naturals EPA Xtra | 1640 Mg Omega-3 Fish Oil With EPA & DHA Supplement | High-Intensity Omega EPA Supplement | Promotes Mood, Heart Health & Immune Function | 60 Lemon Flavour Fish Oil Softgels",0,2,2,0.00%,0.37%,0.08%,0,9,9,0.00%,0.79%,0.23%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B002CQU50A,B002CQU50A,"Nordic Naturals Complete Omega Junior | 283 Mg Omega 3 Fish Oil For Kids | EPA & DHA Supplement With Gla, Oa | Fish Oil Omega 3 6 9 Dietary Supplement | Fish Oil Lemon Flavour | 90 Softgel (Mini)",9,8,17,0.49%,1.49%,0.72%,16,15,31,0.58%,1.31%,0.80%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B002CQU50U,B002CQU50U,Nordic Naturals Omega Woman | 500 Mg Omega-3 Fish Oil Omega 6 GLA & 800 Mg Evening Primrose Oil | Omega 3 For Women Supports Radiant Skin & Hormonal Balance | Fish Oil Lemon Flavour 120 Softgels,2,1,3,0.11%,0.19%,0.13%,2,7,9,0.07%,0.61%,0.23%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B002CQU52I,B002CQU52I,"Nordic Naturals Cholesterol Support Omega Ldl & Triglycerides | 975Mg Omega 3 EPA & Dha+Red Yeast Rice CoQ10 Fish Oil Supports Heart Health, Ldl Cholesterol & Antioxidant | Lemon Fish Oil 60 Softgels",1,1,2,0.05%,0.19%,0.08%,1,7,8,0.04%,0.61%,0.21%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B002CQU532,B002CQU532,Nordic Naturals Ultimate Omega + CoQ10 Supplement | 1280 Mg Omega 3 Fish Oil & Ubiquinol CoQ10 100Mg | Coenzyme Q10 For Cardiovascular Health & Antioxidant Support | Lemon Fish Oil Flavour 60 Softgel,3,1,4,0.16%,0.19%,0.17%,3,7,10,0.11%,0.61%,0.26%,10.00%,0,0.00%,₹0.00,0,11-05-2025
B002CQU53C,B002CQU53C,Nordic Naturals Children’S DHA For Omega 3 | Fish Oil For Kids 250Mg From Arctic Cod Liver Oil | Omega 3 EPA & DHA For Kids 3-6 Yrs| Brain Development & Immunity Strawberry Fish Oil 360 Mini Softgels,1,2,3,0.05%,0.37%,0.13%,1,8,9,0.04%,0.70%,0.23%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B002CQU546,B002CQU546,"Nordic Naturals Complete Omega 3 Fish Oil Supplement | 565 Mg Omega 3 Fish Oil | EPA & DHA Supplement With Gla, Oa | Fish Oil Omega 3 6 9 Dietary Supplement | Lemon Fish Oil 120 Fish Oil Softgel",2,2,4,0.11%,0.37%,0.17%,2,8,10,0.07%,0.70%,0.26%,90.00%,0,0.00%,₹0.00,0,11-05-2025
B002CQU55A,B002CQU55A,Nordic Naturals DHA | 830 Mg Omega-3 Fish Oil For Men & Women High-Intensity DHA Formula | EPA & DHA Supplement For Brain Health & Nervous System Support Strawberry Flavour Fish Oil 180 Softgels,1,1,2,0.05%,0.19%,0.08%,1,7,8,0.04%,0.61%,0.21%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B002CQU55K,B002CQU55K,"Nordic Naturals Omega 3 Fish Oil EPA And DHA|690Mg Omega 3 Fish Oil Support Brain, Heart Health & Immunity|Omega Fish Oil For Men & Women Lemon Fish Oil Flavour, 2 count, 180 capsules",1,7,8,0.05%,1.30%,0.34%,2,15,17,0.07%,1.31%,0.44%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B002CQU55U,B002CQU55U,"Nordic Naturals Complete Omega 3 Fish Oil Supplement | 565 Mg Omega 3 Fish Oil | EPA & DHA Supplement With Gla, Oa | Fish Oil Omega 3 6 9 Dietary Supplement | Lemon Fish Oil 180 Fish Oil Softgel",2,2,4,0.11%,0.37%,0.17%,3,8,11,0.11%,0.70%,0.28%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B002CQU596,B002CQU596,"Nordic Naturals Omega 3 Pet Supplement | 330 mg Omega 3 Dog Skin and Coat Supplement | Fish Oil for Dogs with EPA & DHA | Promotes Heart, Skin, Coat, Joint, & Immune Health - Unflavored 180 Soft Gels",0,2,2,0.00%,0.37%,0.08%,0,8,8,0.00%,0.70%,0.21%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B002WTCLG8,B002WTCLG8,Nordic Naturals Ultimate Omega 3 Fish Oil Liquid | High Potency Omega 3 Fatty Acids Supplement For Men & Women | 2840 Mg Omega 3 Fish Oil EPA & DHA | Promotes Brain & Heart Health | Lemon Flavour 4 Oz,14,2,16,0.77%,0.37%,0.68%,19,8,27,0.69%,0.70%,0.69%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B002WTCLGI,B002WTCLGI,Nordic Naturals Children'S Dha For Omega 3|Fish Oil For Kids 530Mg From Arctic Cod Liver Oil|Omega 3 Fish Oil Epa&Dha For Kids For Brain Development&Immunity|Strawberry Flavour 8 Floz 237 Ml,10,5,15,0.55%,0.93%,0.64%,14,11,25,0.51%,0.96%,0.64%,41.67%,0,0.00%,₹0.00,0,11-05-2025
B002WTCLHW,B002WTCLHW,"Nordic Naturals Complete Omega 3 Fish Oil Supplement | 1270 Mg Omega 3 Fish Oil | EPA & DHA Supplement With Gla, Oa | Fish Oil Omega 3 6 9 Dietary Supplement | Lemon Fish Oil Syrup 8 Fl Oz 237 ml",1,1,2,0.05%,0.19%,0.08%,1,7,8,0.04%,0.61%,0.21%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B002WTCLI6,B002WTCLI6,"Nordic Naturals Complete Omega 3 Fish Oil Supplement | 1270 Mg Omega 3 Fish Oil | EPA & DHA Supplement With Gla, Oa | Fish Oil Omega 3 6 9 Dietary Supplement | Lemon Fish Oil Syrup 16 Fl Oz (473 ml)",0,2,2,0.00%,0.37%,0.08%,0,8,8,0.00%,0.70%,0.21%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B002WTCLIQ,B002WTCLIQ,Nordic Naturals Ultimate Omega 3 Fish Oil Liquid | High Potency Omega 3 Fatty Acids Supplement For Men & Women | 2840 Mg EPA & DHA | Promotes Brain & Heart Health | Lemon Flavour 8 Oz,7,4,11,0.38%,0.74%,0.47%,12,12,24,0.44%,1.05%,0.62%,50.00%,0,0.00%,₹0.00,0,11-05-2025
B002WTCLJA,B002WTCLJA,"Nordic Naturals Arctic Cod Liver Oil | 1060 Mg Omega 3 Fish Oil EPA & DHA Supplement | Omega 3 Cod Liver Oil Liquid For Heart, Brain Health & Optimal Wellness | Unflavoured Fish Oil 8 Fl Oz (237 Ml)",13,4,17,0.71%,0.74%,0.72%,17,12,29,0.62%,1.05%,0.75%,75.00%,0,0.00%,₹0.00,0,11-05-2025
B002WTCM3K,B002WTCM3K,"Nordic Naturals Arctic Cod Liver Oil | 1060 Mg Omega 3 Fish Oil EPA & DHA Supplement | Omega 3 Cod Liver Oil Liquid For Heart, Brain Health & Optimal Wellness Flavour Orange Fish Oil 16 Fl Oz(473 Ml)",2,2,4,0.11%,0.37%,0.17%,3,9,12,0.11%,0.79%,0.31%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B002WTCM76,B002WTCM76,"Nordic Naturals Arctic Cod Liver Oil | 1060 Mg Omega 3 Fish Oil EPA & DHA Supplement | Omega 3 Cod Liver Oil Liquid For Heart, Brain Health & Optimal Wellness | Flavour Lemon Fish Oil 8 Fl Oz (237 Ml)",1,1,2,0.05%,0.19%,0.08%,1,7,8,0.04%,0.61%,0.21%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B003DYQ59U,B003DYQ59U,Nordic Naturals Baby’S DHA Supplement | 1050Mg Omega-3 Fish Oil EPA & DHA + 300 Iu Vitamind3 | Supports Brain Health & Vision | Unflavoured Fish Oil Liquid 60 ml,15,11,26,0.82%,2.04%,1.10%,26,24,50,0.95%,2.10%,1.29%,4.35%,0,0.00%,₹0.00,0,11-05-2025
B004LSFKVG,B004LSFKVG,"Nordic Naturals Daily Omega Kids|340 mg Omega 3 Fish Oil With EPA & DHA Supplement|Supports Brain Health & Visual Function In Kids DHA|Strawberry Flavour Fish Oil 30 Soft Gels, 0.02 grams",9,17,26,0.49%,3.16%,1.10%,14,41,55,0.51%,3.58%,1.41%,11.76%,0,0.00%,₹0.00,0,11-05-2025
B004O8I7JA,B004O8I7JA,Nordic Naturals DHA Xtra | 1660 Mg Omega-3 Fish Oil | High-Intensity DHA Formula | EPA & DHA Supplement For Brain Health & Nervous System Support Strawberry Flavour Fish Oil 60 Softgels,6,4,10,0.33%,0.74%,0.42%,13,10,23,0.47%,0.87%,0.59%,19.05%,0,0.00%,₹0.00,0,11-05-2025
B004T7DYOO,B004T7DYOO,Nordic Naturals Children’S DHA For Omega 3 | Fish Oil For Kids 530 Mg From Arctic Cod | Omega 3 DHA For Kids With EPA For Healthy Brain Development & Immune Function | Strawberry Flavour | 473 Ml,13,4,17,0.71%,0.74%,0.72%,27,10,37,0.98%,0.87%,0.95%,96.88%,0,0.00%,₹0.00,0,11-05-2025
B00537E45W,B00537E45W,"Nordic Naturals Complete Omega Junior | 283 Mg Omega 3 Fish Oil For Kids | EPA & DHA Supplement With Gla, Oa | Omega 3 6 9 Dietary Supplement | Lemon Flavour | 180 Mini Softgel",3,2,5,0.16%,0.37%,0.21%,5,8,13,0.18%,0.70%,0.33%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B0058ABILW,B0058ABILW,Nordic Naturals Prenatal DHA Supplement 830Mg Omega 3 Fish Oil+400 Iu VitaminD3 For Babies During Pregnancy & Lactation Vitamins For Pregnancy | Unflavoured 90 Fishoil Softgel,23,4,27,1.26%,0.74%,1.15%,35,10,45,1.28%,0.87%,1.16%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B0093ABMOQ,B0093ABMOQ,Nordic Naturals Zero Sugar Omega 3 Fishies | Fish Oil For Kids 300 Mg Omega 3 Gummies EPA & DHA For Kids | Supports Brain Development Kids Ages 3+ Yrs | Tutti Frutti Fish Oil Supplement 36 Gummy Chew,3,1,4,0.16%,0.19%,0.17%,3,7,10,0.11%,0.61%,0.26%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B0096M5PBW,B0096M5PBW,"Nordic Naturals Omega 3 Liquid|1560 Mg Omega 3 Fatty Acid|Sardine Fish Oil Syrup With EPA & DHA Supplement For Heart,Brain Health & Immune Support|Fish Oil Lemon Flavour 8 Floz 237 ml, 0.4 grams",9,3,12,0.49%,0.56%,0.51%,18,9,27,0.66%,0.79%,0.69%,29.17%,0,0.00%,₹0.00,0,11-05-2025
B009K8EAMC,B009K8EAMC,"Nordic Naturals Complete Omega Xtra Fish Oil Supplement | 1360 Mg Omega 3 Fish Oil | EPA & DHA Supplement With Gla, Oa | Fish Oil Omega 3 6 9 Dietary Supplement | Lemon Fish Oil 60 Fish Oil Softgel",0,3,3,0.00%,0.56%,0.13%,0,9,9,0.00%,0.79%,0.23%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B00C30J31W,B00C30J31W,Nordic Naturals CoQ10 Gummies | 100 Mg Ubiquinol CoQ10 Supplement | Coenzyme Q10 For Cardiovascular Health & Antioxidant Support | Cardioton Strawberry Flavour 60 Softgel,2,1,3,0.11%,0.19%,0.13%,2,7,9,0.07%,0.61%,0.23%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B00CHN1JU8,B00CHN1JU8,"Nordic Naturals Arctic Cod Liver Oil|750 Mg Omega 3 Fish Oil EPA & DHA Supplement|Omega 3 Cod Liver Oil Liquid For Heart,Brain Health & Optimal Wellness|Flavour Lemon Fish Oil 90 Softgels, 160 grams",13,3,16,0.71%,0.56%,0.68%,18,9,27,0.66%,0.79%,0.69%,81.48%,0,0.00%,₹0.00,0,11-05-2025
B015RZ8PZE,B015RZ8PZE,Nordic Naturals Omega Vision Support | 1460 Mg Omega 3 Fish Oil EPA & DHA With Floraglo® Lutein & Zeaxanthin Eye Health Supplement | For Healthy Eyes And Vision | Lemon Fish Oil Flavour 60 Softgels,1,6,7,0.05%,1.12%,0.30%,3,12,15,0.11%,1.05%,0.39%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B01DAKIH10,B01DAKIH10,"Nordic Naturals Vitamin D3 Gummies Kids - 400 Iu Chewable Vitamin D3 For Kids | Cholecalciferol Vitamin D3 For Bone Health, Healthy Immunity - Vit D3 Wild Watermelon Splash, Vegetarian - 60 Gummies",5,2,7,0.27%,0.37%,0.30%,5,8,13,0.18%,0.70%,0.33%,15.38%,0,0.00%,₹0.00,0,11-05-2025
B01DAKILC0,B01DAKILC0,Nordic Naturals Omega Curcumin Supplement | 1200 Mg Omega 3 Fish Oil EPA DHA + 400 Mg Optimized Curcumin L- Glutathione | Dietary Supplement Lemon Fish Oil 60 Softgel,0,2,2,0.00%,0.37%,0.08%,0,8,8,0.00%,0.70%,0.21%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B01GSTR6Z8,B01GSTR6Z8,BOLDIFY Hair Thickening Spray | Stylist Recommended Volumizing Hair Product | Hair Volumizer | Texture Spray for Hair | Hair Spray for Women/Men | Hair Thickening Products Unisex - 4 ounces.,1,1,2,0.05%,0.19%,0.08%,1,1,2,0.04%,0.09%,0.05%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B01LTHMG4A,B01LTHMG4A,Nordic Naturals Ultimate Omega + CoQ10 Supplement | 1280 Mg Omega 3 Fish Oil & Ubiquinol CoQ10 100Mg | Coenzyme Q10 For Cardiovascular Health & Antioxidant Support | Lemon Fish Oil Flavour 120 Softgel,4,2,6,0.22%,0.37%,0.25%,4,8,12,0.15%,0.70%,0.31%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B01LTHMG4K,B01LTHMG4K,Nordic Naturals Omega Memory With Curcumin | 1000 Mg Omega 3 Fish Oil + 400 Mg Optimized Curcumin | For Memory & Cognition - Contains Phosphatidylcholine & Huperzine A | 60 Lemon Fish Oil Softgels,1,2,3,0.05%,0.37%,0.13%,2,9,11,0.07%,0.79%,0.28%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B01N2XZTGL,B01N2XZTGL,Nordic Naturals Children’S DHA For Omega 3 | Fish Oil For Kids 250Mg From Arctic Cod Liver Oil | Omega 3 EPA & DHA For Kids 3-6 Yrs| Brain Development & Immunity Strawberry Fish Oil 180 Mini Softgels,1,1,2,0.05%,0.19%,0.08%,1,7,8,0.04%,0.61%,0.21%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B06XPPP4M2,B06XPPP4M2,Nordic Naturals Ultimate Omega 2X | 2150 Mg Omega 3 Fish Oil Supplement EPA And DHA | Omega 3 For Optimum Wellness & Heart Health | Omega 3 Lemon Fish Oil For Men And Women | 120 Softgels,5,3,8,0.27%,0.56%,0.34%,5,9,14,0.18%,0.79%,0.36%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B06XPQ1ZHT,B06XPQ1ZHT,Nordic Naturals CoQ10 Gummies | 100 Mg Ubiquinol CoQ10 Supplement | Coenzyme Q10 For Cardiovascular Health & Antioxidant Support | Cardioton Strawberry Flavour 60 Softgel,1,4,5,0.05%,0.74%,0.21%,1,11,12,0.04%,0.96%,0.31%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B0758338B2,B0758338B2,Nordic Naturals Ultimate Omega 2X Teen | 1120 Mg Omega 3 Fish Oil EPA & DHA Supplement | Supports Brain Health & Cognitive Function | Strawberry Fish Oil For Kids 12-18 Yrs 60 Softgels,0,1,1,0.00%,0.19%,0.04%,0,7,7,0.00%,0.61%,0.18%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B07B3YK2SH,B07B3YK2SH,"Nordic Naturals Kids Nordic Flora Probiotic Gummies With Prebiotics | 1.5 Billion Cfu Plus Prebiotic Fiber, Bacillus Coagulans | Prebiotic & Probiotic Supplement | Vegan Merry Berry Punch 60 Gummies",2,2,4,0.11%,0.37%,0.17%,2,8,10,0.07%,0.70%,0.26%,90.00%,0,0.00%,₹0.00,0,11-05-2025
B07RHMMVL9,B07RHMMVL9,Nordic Naturals ULTIMATE OMEGA 2X SPORT | 2150mg Omega 3 supplement EPA & DHA Omega 3 Lemon Fish Oil for athletes & active adults 60 SoftGel,1,1,2,0.05%,0.19%,0.08%,1,7,8,0.04%,0.61%,0.21%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B07WMZTX28,B07WMZTX28,"Nordic Naturals Zero Sugar Children's DHA Gummies | Fish oil for kids 600mg Omega 3 EPA & DHA for kids - Age 1-6 Yrs | Tropical Punch Fish oil - 30 gummy chew, 70 grams",19,2,21,1.04%,0.37%,0.89%,30,8,38,1.09%,0.70%,0.98%,28.57%,0,0.00%,₹0.00,0,11-05-2025
B084NRRCZR,B084NRRCZR,Boldify Hair Fibers For Thickening Hair Undetectable & Natural - 12 Grams Bottle - Completely Conceals Hair Loss In 15 Sec - Hair Thickener & Topper For Fine Hair For Women's & Men- Light Brown,3,0,3,0.16%,0.00%,0.13%,4,0,4,0.15%,0.00%,0.10%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B084NSS6ZC,B084NSS6ZC,"Boldify Hair Fibers for Thickening - Undetectable & Natural Bottle Conceals Loss in 15 Sec - Thickener & Topper for Fine Hair - Women & Men - Black, 12 Grams",8,4,12,0.44%,0.74%,0.51%,11,4,15,0.40%,0.35%,0.39%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B084NYD4FW,B084NYD4FW,"Boldify Hair Fibers For Thickening Hair Undetectable & Natural Conceals Hair Loss In 15 Sec - Hair Thickener & Topper For Fine Hair For Women & Men- Medium Brown., 12 Grams",4,1,5,0.22%,0.19%,0.21%,4,2,6,0.15%,0.17%,0.15%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B085DTM83S,B085DTM83S,"Nordic Naturals Ultimate Omega 2X | 2150 Mg Omega 3 Fish Oil Supplement EPA And DHA | Omega 3 For Optimum Wellness & Brain, Heart Health | Omega 3 Lemon Fish Oil For Men And Women | 90 Softgels",3,2,5,0.16%,0.37%,0.21%,3,8,11,0.11%,0.70%,0.28%,100.00%,0,0.00%,₹0.00,0,11-05-2025
B088VG5GWS,B088VG5GWS,"Nordic Naturals Vitamin D3 Gummies Kids - 400 IU Vitamin D3 For Kids | Cholecalciferol VitaminD3 For Muscle & Bone Health - Vit D3 Wild Watermelon Splash, Vegetarian - 120 Chewable Gummies",1,3,4,0.05%,0.56%,0.17%,1,9,10,0.04%,0.79%,0.26%,100.00%,0,0.00%,₹0.00,0,11-05-2025
