"ID","SKU","Title","Rack Id","Quantity","Expiry Date","MRP","isFBA"
"171983","PT0054","White Jada Poha, Beaten Rice","M11","39150","-","55.15",""
"176533","PT0054-000850BP","White Jada Poha (Beaten Rice) | 850 g | Brown Pouch","ISK3","20","-","399.00","1"
"171984","PT0055","Ragi Whole, Finger Millet","M13","78090","-","63.05",""
"176534","PT0055-000850BP","Ragi Whole (Finger Millet) | 850 g | Brown Pouch","BLR8","11","-","319.00","1"
"176534","PT0055-000850BP","Ragi Whole (Finger Millet) | 850 g | Brown Pouch","BOM5","11","-","319.00","1"
"176534","PT0055-000850BP","Ragi Whole (Finger Millet) | 850 g | Brown Pouch","BOM7","16","-","319.00","1"
"176534","PT0055-000850BP","Ragi Whole (Finger Millet) | 850 g | Brown Pouch","CCX1","6","-","319.00","1"
"176534","PT0055-000850BP","Ragi Whole (Finger Millet) | 850 g | Brown Pouch","CCX2","6","-","319.00","1"
"176534","PT0055-000850BP","Ragi Whole (Finger Millet) | 850 g | Brown Pouch","CJB1","11","-","319.00","1"
"176534","PT0055-000850BP","Ragi Whole (Finger Millet) | 850 g | Brown Pouch","PNQ3","1","-","319.00","1"
"176534","PT0055-000850BP","Ragi Whole (Finger Millet) | 850 g | Brown Pouch","WT","1","-","319.00","1"
"176604","PT0055-001800BP","Ragi Whole (Finger Millet) | 1800 g | Brown Pouch","BLR8","1","-","499.00","1"
"176604","PT0055-001800BP","Ragi Whole (Finger Millet) | 1800 g | Brown Pouch","BOM5","2","-","499.00","1"
"176604","PT0055-001800BP","Ragi Whole (Finger Millet) | 1800 g | Brown Pouch","BOM7","2","-","499.00","1"
"176604","PT0055-001800BP","Ragi Whole (Finger Millet) | 1800 g | Brown Pouch","CCX1","1","-","499.00","1"
"176604","PT0055-001800BP","Ragi Whole (Finger Millet) | 1800 g | Brown Pouch","GAX1","1","-","499.00","1"
"176604","PT0055-001800BP","Ragi Whole (Finger Millet) | 1800 g | Brown Pouch","LKO1","1","-","499.00","1"
"176604","PT0055-001800BP","Ragi Whole (Finger Millet) | 1800 g | Brown Pouch","MAA4","1","-","499.00","1"
"171985","PT0056","Groundnut","M11","5400","-","173.44",""
"171985","PT0056","Groundnut","M12","30000","-","173.44",""
"176644","PT0056-000350BP","Groundnut | 350 g | Brown Pouch","DEL5","28","-","305.00","1"
"170425","PT0056-000400BP","Groundnut | 400 g | Brown Pouch","R13","1","-","305.00",""
"176535","PT0056-000850BP","Groundnut | 850 g | Brown Pouch","B45","1","-","479.00",""
"176535","PT0056-000850BP","Groundnut | 850 g | Brown Pouch","BLR8","7","-","479.00","1"
"176535","PT0056-000850BP","Groundnut | 850 g | Brown Pouch","DEL5","3","-","479.00","1"
"170426","PT0056-000900BP","Groundnut | 900 g | Brown Pouch","B45","1","-","479.00",""
"171986","PT0057","Pumpkin Seeds","M12","1675","-","516.78",""
"170427","PT0057-000100BP","Pumpkin Seeds | 100 g | Brown Pouch","BOM5","1","03/31/2025","360.00","1"
"170427","PT0057-000100BP","Pumpkin Seeds | 100 g | Brown Pouch","DEL4","16","03/31/2025","360.00","1"
